cell_type_l4	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
AS_DC	0.006683995580188637	0.0019216608065606466	0.0005378893850438614	0.0002983994825208462	-0.0003560687458629908	0.0008677047833205788	-0.00021297203290741778	-0.0005314282814230216	0.00017150899955134272	-0.00010338088617411246	-0.00018054421207902956	-9.53965455095319e-05	0.00043158590812263266	-6.548526661410818e-05	-0.0004584602575501414	-0.0001956205579736471	-0.00029603593193191206	-6.837962486035097e-05	0.00011493773028152576	0.00039549117047020277	-0.00023362189262817544	0.00011627550631310893	-6.295275976816345e-05	-0.00026275019338588783	-9.611368539486508e-05	-1.2016417099461325e-05	8.274616150335332e-05	-0.0002112695055503273	-0.00020468734211021237	-0.00021397384065257024	-0.00013382347677507253
Atypical_Bm_ITGAX	0.009023747948234996	0.0026047124445574043	-0.00028686293614762115	0.0022696877875814595	-0.0002507055125041178	9.629843014214175e-05	-0.0007791610665707217	-1.1465634395599825e-05	-9.929246190169357e-05	-5.316894647206331e-05	-0.00012444033169301723	0.00015909103173959675	4.424827705274574e-05	-0.00012534429246757538	-0.00018397911231249575	-7.350133465025009e-06	-8.184294427050695e-05	-5.9899154380569475e-05	-2.6385384396841627e-05	6.777596910424217e-05	-0.00014730985632863046	9.45472141259211e-05	-3.966623949991232e-06	1.592902376407255e-05	0.00013019039114512464	2.233562220907606e-05	-4.092044665926142e-05	-5.3332598597892266e-05	0.00015255100782557017	8.94899964463734e-05	-2.5303144166811842e-06
Bn_IFIT3	0.010076522494546637	0.003030242392859921	-0.0010284955511948653	0.0017295013332593596	-0.0012888506270601853	-0.000895398185217112	7.443062423014262e-05	-9.072967217075991e-05	0.00010812868785889212	-9.117396519822984e-06	0.0002982791287794311	-4.371075475390479e-05	-5.103833650479791e-05	0.0002646487876915821	0.00021471288300307323	3.543454463851303e-05	0.0002641802840233459	0.00023498135078590547	4.7015573108938226e-05	-0.000210412506699264	3.779915404367264e-05	-1.0127247204998027e-05	2.0736692767063776e-05	-9.673134707149854e-05	-0.0001588538446349916	-5.3266279913760994e-05	-2.3701506209141196e-05	0.00020345659236921788	1.0083692488471034e-05	6.991965569961253e-05	-3.511966050256014e-05
Bn_TCL1A	0.010030027953489878	0.0030528795257772907	-0.00103233242059472	0.002275415495315997	-0.0008658630008963293	-0.0005171930429980905	1.8972057890444687e-05	-0.0002172514103294339	8.514690207800324e-05	4.326761291381962e-05	0.00012197752118050874	8.123545309320237e-05	-3.281893944536552e-05	9.199774169300852e-05	5.3271502883833864e-05	1.0069505294494792e-05	3.6957702325044834e-05	0.00015572477201733994	2.409803630317474e-05	3.0323557573004903e-06	6.958850283818171e-05	-0.00010891863412118012	-7.426340530920526e-06	-1.997488692750067e-05	-0.00012861775213440235	-7.494689786559431e-06	-1.9062773967665705e-05	-3.399398839456504e-05	-5.091300407656649e-05	-7.816033161835186e-05	-3.954383369859179e-05
CD4_CTL_GZMH	0.011748871475801101	-0.001839478492838479	0.0018018162176540314	0.00022760859871149558	-8.175102162574497e-05	-0.00021816663337146026	-0.0010763656396372927	0.00047376372656993755	0.00011035379338946569	-0.00013964545003751844	-0.00047530521188296276	-0.00016728326545146257	7.388959614992142e-05	-2.6914723279519763e-05	-0.00012370717262179056	6.970180608232863e-05	-0.0001323400231079562	5.343293837787357e-05	8.823109258686052e-06	3.9638977586345285e-05	7.926204005841083e-06	9.668950882947223e-05	6.933889272328759e-06	-9.733624589637561e-05	-1.826876571139919e-05	-2.5818779836499994e-05	-4.787865348390367e-05	6.744927283193254e-05	-0.00012001401189122072	8.800461014918569e-05	3.392543352437082e-05
CD4_Tcm_CXCR5	0.011398469657830519	-0.0013234677922579552	-0.0021390758186157783	-0.0002713271648370294	0.0005536511161633725	0.0008344729674485134	-0.00012017594233772987	-0.00041253908962563327	0.00039875986174133757	-0.00011042317937806368	-0.00042673150712704984	0.00018741058921925693	-8.158020120741904e-05	1.010005292277634e-05	-3.161363694930624e-05	-4.120022744992144e-05	-5.828320665298303e-05	-3.758889302005086e-05	4.9667559054577273e-05	5.3301679155169064e-05	-7.164894452151215e-05	3.387072638628554e-05	-3.8450980261152936e-05	7.299338382857122e-05	3.0932627655786796e-05	-8.004166674511256e-07	-3.135056185080486e-05	-1.1166733772766238e-05	-2.7323441217212792e-05	-3.1882854175671774e-05	6.362653324662022e-05
CD4_Tcm_IFI44L	0.011535048922646124	-0.0007886966479258105	-0.0021127853203782234	-0.0010545310070175624	-0.00041371427048381127	-0.00022662873121968665	-0.00031927766385050405	-0.0008280342949424084	-8.061360734541065e-05	0.00012788476345706285	0.00029644073479421747	-0.0001174177324166434	6.298146780674295e-06	-1.6129069350979418e-05	0.00011075771380246658	6.0188487730482085e-06	8.347887016927168e-05	3.725603677858444e-05	-5.28411101426164e-05	-6.209043100142289e-05	2.5039143998136713e-05	-8.643262186209307e-05	-1.1949864874001394e-05	-2.359620952462143e-06	3.612117428806988e-05	-1.982893900267119e-05	-1.041123980453799e-06	3.472023133894681e-06	-7.367715098020382e-06	7.08799929861501e-05	9.337931222601566e-05
CD4_Tem_CCR5	0.01111790704583603	-0.0014329113558548962	-0.0005381090039406945	-0.0003581587084888993	-0.0009536062770057155	0.0004766686596659084	-0.0007950209862902726	0.0004974502076632425	-2.7804202585280284e-05	0.0010006371140948418	-0.0004266479305891229	0.0003243373099862059	-0.00017094893459185392	-0.0001665663467750138	0.00018334196112159356	-1.2874861812389966e-05	4.1396389541725036e-05	2.4240603424607114e-05	-1.747095953633947e-06	-6.286768936708228e-05	-3.4542659289186425e-05	1.870046744773445e-05	1.762940319937307e-05	-8.829448370779344e-06	0.00014126566435444145	7.4956876428159756e-06	-3.0473565468722175e-05	-5.91623474613117e-05	9.99733478620774e-06	0.0001255089512462562	4.905276653869098e-05
CD4_Tem_CCR7neg	0.011813418815491946	-0.0013189510956874966	-0.001598509475553392	-0.0005933164032679424	-7.568617457958791e-05	0.0007255023948746305	0.00013682720392298213	0.0003394302958484809	0.0001327400413129612	-4.914598030055995e-05	-5.6609204475352916e-05	-0.00012935817787252033	-2.3842381848276306e-05	1.314290793197708e-05	-0.00016225752465855446	-7.9904163049654e-05	-0.00010074494919353022	-0.00014231810316623023	3.34762743160125e-05	4.1084388969278494e-05	-5.43344756072981e-05	-5.08146333844039e-05	-2.652682141868142e-05	-3.484984554651012e-05	3.5495967510331906e-05	-2.1527898429617332e-06	3.728833620589731e-05	3.172661741261497e-05	7.615374883474489e-06	-7.517188829647003e-05	-1.4915637747255908e-05
CD4_Tfh-like_CXCR5	0.011820838971667726	-0.0012098180184421056	-0.00205561001070747	-0.00024105186013384912	0.0009875232441204497	0.0005998149473083422	-0.00018916876164293573	3.863499621117014e-05	0.00016659854792663866	-8.453201239687729e-06	-0.0003916013764295914	0.00013390541469573248	-0.00019623581168608787	3.594628443054136e-05	0.00010375734108784618	-8.477065248024338e-05	5.5896952027262276e-05	6.258040797732677e-06	6.028359678459637e-05	3.0378067513732865e-05	-8.514034161043807e-05	6.283777299575933e-05	-6.529715375158892e-05	1.5955993002182365e-05	2.8398848685700748e-05	8.644727451826169e-05	0.0001254123059952967	0.00012035843017709263	-5.87476052497113e-05	-4.178769088268019e-05	0.00011801772377634642
