cell_type_l3	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
pDC	0.006575022816331223	0.0017067242422834355	0.0001884319877545428	0.0005664142914216892	-0.00020781677560760255	0.0005893524338849533	-0.00035303150704291673	-0.0006816559979473302	0.00019191775783680993	-0.00011762910545706651	-0.00018398358836331125	-0.00028664651076159496	0.000453222693098696	-0.00014596176121597465	-0.0004849374881937462	-0.00020177946951333584	-0.0002946454710197949	-9.65618353622404e-05	9.796083280709293e-05	0.00043313836046990947	-0.00026448627512979875	0.00012194207126276451	-9.321588094485825e-05	-0.00028309908112684004	-0.0001597523523318685	3.0136544156364283e-05	0.00013089072885886656	-0.0002224790201376849	-0.00025273292863727556	-0.0002458851656296902	-9.907566976349916e-05
Atypical_Bm	0.009023747948234996	0.0026047124445574043	-0.00028686293614762115	0.0022696877875814595	-0.0002507055125041178	9.629843014214175e-05	-0.0007791610665707217	-1.1465634395599825e-05	-9.929246190169357e-05	-5.316894647206331e-05	-0.00012444033169301723	0.00015909103173959675	4.424827705274574e-05	-0.00012534429246757538	-0.00018397911231249575	-7.350133465025009e-06	-8.184294427050695e-05	-5.9899154380569475e-05	-2.6385384396841627e-05	6.777596910424217e-05	-0.00014730985632863046	9.45472141259211e-05	-3.966623949991232e-06	1.592902376407255e-05	0.00013019039114512464	2.233562220907606e-05	-4.092044665926142e-05	-5.3332598597892266e-05	0.00015255100782557017	8.94899964463734e-05	-2.5303144166811842e-06
Bn	0.01005327522401826	0.003041560959318606	-0.0010304139858947924	0.0020024584142876796	-0.0010773568139782566	-0.0007062956141076016	4.670134106029362e-05	-0.00015399054125009691	9.66377949684477e-05	1.7075108196998326e-05	0.00021012832497997006	1.8762349169648803e-05	-4.19286379750817e-05	0.00017832326469229527	0.00013399219294345355	2.2752024966503923e-05	0.00015056899317419538	0.00019535306140162272	3.555680470605648e-05	-0.0001036900754709817	5.3693828440927176e-05	-5.9522940663089085e-05	6.6551761180716245e-06	-5.8353116999499575e-05	-0.00014373579838469704	-3.0380484850160208e-05	-2.1382140088403463e-05	8.473130198732643e-05	-2.0414655794047726e-05	-4.120337959369669e-06	-3.733174710057593e-05
CD4_CTL	0.011748871475801101	-0.001839478492838479	0.0018018162176540314	0.00022760859871149558	-8.175102162574497e-05	-0.00021816663337146026	-0.0010763656396372927	0.00047376372656993755	0.00011035379338946569	-0.00013964545003751844	-0.00047530521188296276	-0.00016728326545146257	7.388959614992142e-05	-2.6914723279519763e-05	-0.00012370717262179056	6.970180608232863e-05	-0.0001323400231079562	5.343293837787357e-05	8.823109258686052e-06	3.9638977586345285e-05	7.926204005841083e-06	9.668950882947223e-05	6.933889272328759e-06	-9.733624589637561e-05	-1.826876571139919e-05	-2.5818779836499994e-05	-4.787865348390367e-05	6.744927283193254e-05	-0.00012001401189122072	8.800461014918569e-05	3.392543352437082e-05
CD4_Tcm	0.01146675929023832	-0.0010560822200918823	-0.002125930569497002	-0.000662929085927296	6.996842283978073e-05	0.00030392211811441347	-0.00021972680309411695	-0.000620286692284021	0.00015907312719796353	8.730792039499571e-06	-6.514538616641613e-05	3.499642840130678e-05	-3.764102721337235e-05	-3.014508214101539e-06	3.9572038426580175e-05	-1.7590689338436606e-05	1.2597831758144313e-05	-1.6642812073321003e-07	-1.586775544019552e-06	-4.394375923126893e-06	-2.3304900261687733e-05	-2.6280947737903766e-05	-2.5200422567577195e-05	3.5316881438054536e-05	3.352690097192834e-05	-1.031467783506116e-05	-1.619584291562932e-05	-3.847355319435783e-06	-1.734557815761658e-05	1.9498569405239155e-05	7.850292273631794e-05
CD4_Tem	0.01146566293066398	-0.001375931225771196	-0.0010683092397470433	-0.00047573755587842077	-0.0005146462257926518	0.0006010855272702694	-0.0003290968911836452	0.0004184402517558617	5.246791936384045e-05	0.00047574556689714074	-0.00024162856753223786	9.748956605684277e-05	-9.739565822006513e-05	-7.671171942151833e-05	1.0542218231519571e-05	-4.6389512431022005e-05	-2.967427982590259e-05	-5.903874987081156e-05	1.586458918118927e-05	-1.0891650198901887e-05	-4.443856744824224e-05	-1.6057082968334716e-05	-4.448709109654173e-06	-2.183964695864473e-05	8.838081593238666e-05	2.6714488999271195e-06	3.407385368587587e-06	-1.3717865024348374e-05	8.806354834841107e-06	2.5168531474893063e-05	1.7068564395717533e-05
CD4_helper	0.011797973842634847	-0.0014065620223967193	-0.0012754609209961049	-0.0004907372298758376	-0.00015080803730475393	0.0008171591222771361	0.00012214907337373173	0.000638162075280485	-4.4347319841843254e-06	-0.0001132391610126794	-0.00019543052949837054	-0.00013150035483439852	4.3041311784506406e-05	1.2415835930536977e-05	-6.729613610683952e-05	-5.752995760800319e-05	-0.00011076985433121235	-5.285479283664851e-05	5.882073766696684e-05	9.726053845688941e-05	-8.970717537071066e-05	-3.7330217914375235e-05	3.1921756658034796e-06	-4.0463423812991776e-05	-5.669450483275375e-05	-1.847021068514812e-05	7.053121970897803e-05	6.822305450896365e-05	2.1143418044669337e-05	-7.748979238636693e-05	8.317724724817176e-06
CD4_Tn	0.011619742717683037	-0.000947638537442716	-0.002427507982487865	-0.00032824513359750563	0.0011343975511550939	0.0003238307145701309	-2.4633792491751855e-06	-0.0013185756157643976	0.00040801417785871273	-1.4404617174768958e-06	9.229540517289171e-05	-6.875570580687459e-05	-3.62144404882108e-05	8.925621321069189e-05	0.00010621864479763121	1.0220769807078656e-05	0.00020990323454219594	0.00011765239507032838	2.4721969004020764e-05	3.900466190306911e-06	0.000215500857367454	-6.889485107976087e-05	-1.0644870367795085e-05	3.1310833953626266e-05	1.892499786842469e-05	-5.085907469992584e-06	-0.00017022129207819162	2.3083150190600705e-05	-0.00010835598929514595	3.8620189118183603e-05	6.24440505186602e-05
CD4_Tr1	0.01143962329722489	-0.0011383298644130908	-0.001206270316104955	-0.000482501981063913	-0.0005374513767314691	0.000151317410893453	-0.0003625052595093395	-0.00011499408569775541	-0.00028909490726059347	4.462753847127234e-05	0.0001806077943180904	0.0004927963464629399	-0.00018463178803922436	-0.00011412823023313567	0.00010967700241906965	-1.7484551013234478e-05	-4.0009775631311554e-05	-8.752715025847747e-05	-9.19300180670947e-05	-9.51832715533245e-05	5.607049011927046e-05	1.0090305385742203e-05	4.120375986043117e-06	4.0776020805487586e-05	6.629821591105131e-05	4.096204917811818e-05	-7.445657702941015e-05	3.54232643303599e-07	3.4517939903438786e-05	-6.141027046159729e-05	-8.057733610697751e-05
CD4_Treg	0.0118546757190746	-0.001004577758049645	-0.0017323361549995775	-0.00030564128095591386	0.0009161349498870347	0.0002976992922672931	-0.00036080158364414354	0.0002870408810862407	-0.000457159184760599	0.0001372586485821004	-2.05853529255349e-05	0.0005303397287054522	-0.0001074229627211619	-0.00010033134233920731	0.00010085115855359281	1.768419867908622e-05	4.29075410252246e-05	5.7963642211489704e-05	2.472870765116961e-05	-6.308888962411278e-05	5.1277060205866555e-05	0.00012914158979605183	-8.967753684602246e-06	-0.00012161218784470306	0.00010614470633336401	4.176422171435853e-05	1.26509973352473e-05	2.8726943004630934e-06	-8.221397690261458e-06	0.0002589503537782397	1.932658998396233e-05
CD8_CTL	0.011632311711476918	-0.0015780754814378076	0.0008692776358308283	-0.00018843726116642682	-0.0007981004137492757	-0.00019418641478073312	-0.0005882624632571055	0.00015872394432071032	9.54963760929389e-05	-6.196855829245941e-05	-0.00011638819925273327	-0.00024305524604751886	-3.530385525617826e-05	-2.5825787991413088e-05	-4.4381060043633166e-05	9.514095773276626e-05	9.57612140000236e-05	2.8146666703006412e-05	-2.112344118301048e-05	-2.0601497279017418e-05	6.174622625159911e-05	3.85224628009652e-06	2.1914268567406338e-05	6.304561074988741e-05	3.299063397276118e-05	-5.834281897966446e-05	2.5996901712472817e-05	4.102377332210264e-05	-5.764315476419333e-05	3.435533130020731e-05	7.651625751777872e-05
CD8_Tcm	0.011218399200318611	-0.0006961044699687004	-0.0019937184703208892	-0.0011517536040686063	-0.0009290093963347868	-0.0003999750259805835	-0.00014230717448437627	-0.0014654571743928921	1.4099743368389058e-06	3.124117619116068e-05	0.0005598085898352039	-9.19646431077353e-05	7.196590527798144e-06	3.834816902956502e-05	5.338577725885962e-05	3.3433938392188223e-07	0.00012061998257870498	-1.4882777326964392e-05	-0.00010365872613567203	-0.00012498335396654987	6.282488377162884e-05	-3.827731745325004e-05	2.3101432652735437e-05	-2.873793150511012e-06	-4.466863052714798e-05	-6.381731032032491e-06	-4.670992789261032e-05	-1.0959098322403123e-05	1.7154740873510536e-05	-2.302367849867655e-06	-3.0378252381094132e-05
CD8_Tem	0.011599505062515393	-0.0018933703157206015	0.0008809196842972838	0.00042246460795488977	-0.0005267947069573428	0.00018710815979657667	-0.0003920687754679538	2.2326659356321925e-05	0.00023797381139006277	-5.755755776262235e-05	-0.00029564711049192926	-7.088389895319508e-05	-0.0001852099746182864	-3.8891358450103154e-05	0.00010070441056039695	0.00012673973649188173	0.000145998681587563	5.4551129223224826e-05	-7.125363007568849e-05	-0.00012895636105046473	0.00015015963451163464	9.48206323094083e-05	5.185570789226671e-05	2.1337526947390635e-05	0.00013215474440420383	-1.0319043477871293e-05	-2.1942283271272718e-05	-0.000134271757217299	1.4358550188079175e-05	5.263641793372192e-06	-0.00013797914729820257
CD8_Tn	0.01151105790216761	-0.0011994951963950854	-0.0021020707989530805	-6.887207975046518e-05	0.0006472596995453823	0.0005792975273253789	0.00016674713096688116	-0.001744995215006494	0.0004095802532420066	-0.00010987848873626268	0.0004988849885860634	6.224613519806588e-05	-6.783615953317219e-05	1.715817154286212e-05	6.090820724040576e-05	3.354667154666152e-06	9.569883696798238e-05	0.00012214742907520976	-0.00022326732663532762	-8.041094954956366e-05	0.00018803424639272297	-0.00012105538992557466	-5.142640293144577e-05	5.3465881865491246e-05	-3.4457350477533164e-05	-2.1071800728598943e-06	-0.00011482041256504471	-1.7265473471824052e-05	-4.2978419722996756e-05	-4.633856467625343e-05	-7.29640777896283e-05
Proliferative_NK	0.012332573261625512	-0.000238248094325253	0.001809248385805271	-0.0002394725910575189	0.0013990984193175693	-0.0021256652911952785	0.0003654194602100447	-0.00019059399841990954	-0.0003316492015920165	0.00021628997712858935	4.222053951745401e-05	0.0003732623061366257	-1.4319013620368029e-05	0.00010476802734899268	3.059067015910181e-05	-1.1669444693267032e-05	-6.191886697236659e-05	-7.617170628267671e-05	0.0001231084529279076	-1.9731828332640816e-05	-2.8260204720606834e-05	1.2309984950200553e-05	9.121805425091657e-06	0.00015136933803194737	-0.0001186295092912985	-5.956339124803668e-05	8.136666792941382e-06	-9.185247419160695e-05	0.0003054974254478773	-0.0002107562036854156	-0.0001168117077199942
Proliferative_T	0.012493626907901454	-0.0005280919710225565	-0.001095600277358638	-0.001099413928314351	0.00019754966031805494	-0.0010730172334757365	-0.00047029770257495844	0.0008783151663612958	-0.0008179733196491733	0.0001006153138578015	0.000447601873024499	0.0005541140856116447	5.5566502146005064e-05	5.6198375795181445e-05	-1.520567112258915e-05	-7.033108202372635e-05	-0.0001208669934373565	4.615932476887787e-05	8.817392319108934e-05	-8.584657977129573e-05	-0.0001819247272709694	9.295961839842047e-05	7.557909126364801e-05	-8.510168505878177e-05	3.7072937876733226e-05	7.956910744053718e-05	-0.00011398823559143302	-0.00013621645561738693	0.00012229445109641422	0.00011445892224477558	4.0627863464788964e-05
HSPC	0.007411366502012415	0.0010454915520632401	0.00020119135129885324	-0.0005243992228966519	0.00011676503852906828	3.600872373432724e-05	0.00026925654917746793	-0.0006683433268551118	-0.00041738920579764867	4.271805404176167e-05	-0.00010594733810698611	-0.00023918841971311413	0.0003918810208820899	3.5621531852623936e-05	-0.0002671478409511839	-5.709674064109828e-05	-0.0002560854435203994	-5.050149222120311e-05	0.00026333160833456204	0.0003736228968221451	-0.0001465536170431673	0.0001287296099453758	1.5012061768509644e-05	-0.0001381788178290239	-0.00014178465547909786	1.876658372948492e-05	6.915695393172175e-05	-0.00018262529557190002	-3.853322341228874e-05	-0.00011812950741675624	-0.00013196648492971736
ILC2	0.011385470865421028	0.0004397283929637854	0.0005219391059970999	-0.000908675120207354	-0.0001774351536308568	-0.000732857990743807	0.003149918148907523	0.00011983135428765292	-0.0006413066015180722	0.00033573362300980526	-0.0005865469514370919	0.0004926171795889266	0.00024247025830043324	0.00026262141946068645	-0.0002203765545769184	-0.00020155002122533016	-0.0002438984230724177	-9.513283012877453e-05	0.00015278835774581328	0.0002964840909394199	-5.978697257009849e-05	-5.241346999177216e-05	-6.275725520061624e-05	-6.779047889803628e-05	-9.218015244722924e-05	-0.00013858170375178933	-7.665314088387188e-05	0.00015544785338278855	-9.615570286259541e-05	7.389250823448757e-05	-3.615876648848228e-05
MAIT	0.011612308522965471	-0.0016582880968606223	0.0008055701349600476	-4.303714241178948e-05	-0.0009394102758696126	4.5425288066363216e-05	0.00020654519948595942	0.0002929263906588062	0.0002448408184561339	-0.0001935372348958266	-4.7171416270047443e-05	-0.0007839481057789468	-4.067767661914353e-05	3.355433065846179e-05	0.00012562072937548523	0.00024044856769218757	0.00014058213065772714	-2.2204025426348397e-05	3.187515378784266e-05	-7.706045628947914e-05	0.00016907767377560801	-0.0001676821339512131	-9.524453309938934e-05	0.00019460201450449512	1.4617831492184402e-05	8.13780594521465e-05	2.2817000738790087e-05	2.4167023806833757e-05	-0.00011021938889953738	-0.00018341944555206414	-0.00014310946038606446
MK	0.011104486288165849	-0.0010354020606154228	0.001511577675709333	0.0005271801507114897	0.0004278450807342052	0.0011699075930056018	0.00027298026727415206	5.8416707613976025e-05	0.0011655666406966407	-5.880077851357829e-05	0.0011917799156362467	0.00040064002016499995	7.939371783168638e-06	0.00034688649740817967	-3.974067460411064e-05	-0.0005082185577916235	-0.0001153855628808076	-1.6078238567470372e-05	-0.00010170585893053706	0.00012339258392990907	-9.453963573044905e-05	-9.394920903687045e-05	-0.00028863880685377273	0.000102179549795816	0.00014700364704698176	-0.00019836027520414394	0.00011996612233064659	-0.00010165221508679983	0.0001450482138675287	-2.0623957774440198e-05	0.00038256930872995054
Mature_NK	0.011401386434168478	-0.0009700038469707053	0.0029327199555858113	0.0005527385895602397	0.0005914262485681251	-0.0010774553937820807	-9.263575432569956e-05	-0.0009067692229921511	-0.00013731481995798598	7.212775184341682e-05	-0.00016623423865985774	0.0002916582202746807	-6.846195021593247e-07	-6.760992704274934e-05	3.228383713098743e-07	-0.00010303031914496136	-0.00014964325264140693	0.00010519869964459286	-4.826980854264652e-05	-8.088421534689131e-05	-0.00019902587976209008	0.00011612328870958037	4.3289121038995285e-05	-0.00015314279377552826	-2.014255215434218e-05	4.756911570499956e-05	-2.9840008070704304e-05	8.006515807866291e-05	8.548939615116342e-05	-1.0393003254045037e-05	-4.1857695411240944e-05
NKT	0.011542285493397485	-0.0014832405246550484	0.002784061936677337	0.0005503696196377745	0.0003656894767450453	-0.0007983385739267451	-0.0009481886001636974	-0.00015874939679389483	-0.00035408560868755443	-6.391338378310727e-06	-0.0001793382359536563	0.00012176925033016691	4.945053335913365e-05	-5.5400106102924445e-05	-0.00012103336355518465	5.826861186921043e-05	8.166228258837652e-05	0.00011239326771351239	-4.9018515552557755e-05	0.00011175920213714917	4.586216246149309e-05	6.311720893159503e-05	5.178198958048155e-05	-1.1650992228411103e-05	4.1045214298067977e-05	0.0001158729680856456	-0.0001028461433247183	0.00021665204264640167	-0.00010949781520840139	0.00014697590207587736	1.5004649759191044e-05
CD56_bright_NK	0.010424463477426855	-0.00042510447644192014	0.0021917697022263943	0.00026100972490139036	-0.0007404811585577167	-0.000371939440352183	0.002208856604828467	-0.0008566539609713383	-0.00048756080009796385	0.00013862758244207162	-0.0008036931078668589	0.00022004744583275598	-2.9578444752623788e-05	3.170220647977162e-05	0.00011832173728920887	5.2860314413264345e-06	0.0001316297080031767	-5.3966349234756156e-05	3.837472630972024e-05	5.282484745537661e-06	-2.0844301287484518e-06	8.545680785803668e-05	-0.0001243365086746146	-4.335452141152202e-05	5.6485617042462724e-05	-2.828795080550225e-05	2.6793396487803326e-05	6.765837103636146e-05	5.3532313297826215e-05	-8.479123370369903e-05	1.9646326129417737e-05
Plasma	0.012561868570834795	0.00022548052170133062	-0.00029141312344272563	-0.00017569057923155464	0.0017012628787281033	-0.0016704386235880822	0.0007199368136948152	0.00038166853058881257	5.416610886552199e-06	-8.102696941970153e-05	9.947459080395872e-06	-0.00022096859086837925	0.0002445838434288777	-7.232278315144886e-05	6.130112292611423e-06	2.334524217356755e-05	0.00010159514014681163	2.790542222026982e-05	2.6069783585188486e-05	-0.00011709074899887261	9.651757700844952e-05	2.1794702374064683e-05	3.402897238837816e-05	-0.00010212990810220175	5.282013703078221e-05	5.894645855801911e-05	-3.681494406460262e-05	-9.722557076805292e-05	-0.00010184406353691281	-0.00011914784407847564	-6.164921069900371e-05
