cell_type_l1	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
Myeloid	0.007304578930896629	0.002297044860679242	0.000994531122827791	-0.0010498284752335544	0.00023133349668442586	0.0009647909792880619	-0.00013147840773026893	-0.00016975481759795024	0.00017608091062558054	-3.262642951915516e-05	8.861094420053085e-05	-8.739622163650952e-06	7.677904597749474e-05	3.7810957126664496e-06	-5.7875044986130385e-05	-3.557567080236573e-05	-5.900183915468411e-05	-1.8809066230417205e-06	4.112572542063808e-05	6.586396458019115e-05	-3.360898291933853e-05	2.1392954033068767e-05	-1.0630148233489282e-05	-3.615930550716857e-05	-9.423981045250417e-06	-6.37315824985955e-06	1.6332705315944496e-05	-4.045661913578289e-05	-2.0944811572387135e-05	-2.373024864934526e-05	-1.5326763509968218e-06
B	0.010464301643929105	0.002193791795486157	-0.0008266445188042736	0.001577228670547339	-0.0001917596920156227	-0.0007013572837898238	-2.781565817809809e-05	0.00023933763226318154	-4.810546274860396e-05	-1.0772424111826582e-05	1.255834898595702e-05	1.3730996994754441e-05	2.316716380158382e-05	5.398904001426379e-07	2.335415310096232e-05	6.184353449586332e-06	2.8415290673762347e-05	2.2271721717691077e-05	2.8221779390714934e-06	-3.57661365877866e-05	2.6683409261986973e-05	5.630321231386615e-06	-2.6797934782402694e-06	1.6716296286879732e-05	1.8947399969565135e-05	1.2143609836436009e-05	-1.0762299356804029e-05	-2.8160462020473025e-06	2.488167830866787e-05	-1.6761267405773574e-05	-5.586168233557578e-06
CD4_T	0.011685515641819166	-0.0012902852162060493	-0.0012883337785249236	-0.00043168218566275266	2.5153324095808006e-05	0.0005239068264585021	-0.00015034633253896846	0.00022985733957420876	-1.8312896018705924e-05	2.2146094666562703e-05	-0.0001390708957580594	4.1369146105688694e-05	-2.0661671637197983e-05	-2.031193929611617e-05	-4.809602983098822e-06	-2.7053980285037145e-05	-4.288583491253914e-05	-1.805677738918281e-05	2.6960829152566216e-05	2.952688187057942e-05	-2.3836593194408534e-05	-3.1137152553466477e-06	-3.404946635779123e-06	-3.2797704034924405e-05	7.887360044634932e-06	-3.1870079603726647e-06	1.2555443434234428e-05	3.3691436571371264e-05	-4.960586062269786e-06	8.126305713621715e-06	1.8988273452610628e-05
CD8_T&unconvensional_T	0.011629096918341537	-0.0014409366596462934	0.0006284181960621525	-5.715644201622218e-05	-0.0005238552332703998	-0.00022961417382946143	-0.0002526387518907238	-0.00022929114096817516	9.306792607215953e-05	-6.507581643706929e-05	0.00014337991513876567	-0.0001468304070927694	-4.106824484993691e-05	-3.83860585926395e-06	3.243931375141085e-06	9.006626392602931e-05	9.468421472473912e-05	1.6705527464540622e-05	-5.8877418396212274e-05	-3.1713453345641754e-05	7.115061641853223e-05	-1.3605954058580789e-05	3.6193197270331544e-05	4.535526369328736e-05	-2.0824407121335602e-07	5.389922660081356e-06	-2.725583349756331e-05	-6.945285906894664e-06	-2.7870103865402697e-05	3.216165188600509e-05	-1.1121598515345934e-05
ILC	0.011363855800803556	-0.0005434764890279884	0.0020594602145137574	0.00027812822555531183	0.0005176193798924537	-0.0008151723565904403	0.0010982525199120007	-0.000505835373273833	-0.0004888125741897308	0.00016196462161956928	-0.0003347685007008967	0.00021076523111673078	-2.7327395488403444e-05	3.444983318041586e-05	6.544120166190579e-05	-4.788899312657583e-05	-4.3076971005553116e-05	-2.6529201351765918e-05	-1.9249638132819892e-05	-3.7416000180289474e-05	-7.958933208517003e-05	9.89234236159413e-06	-4.0611262339268095e-05	8.621532805614035e-06	-4.422298780310745e-05	-1.6767064156216727e-05	-8.546191769508343e-06	1.9782400559539803e-05	5.374146412863925e-05	-5.531536488342178e-06	-3.082463546844952e-05
